Date,Price,Open,High,Low
1/1/2019,196.46,199.47,199.96,195.68
1/2/2019,192.87,200.95,200.95,192.03
1/3/2019,194.99,190.60,196.86,190.60
1/4/2019,195.18,195.04,199.57,192.57
1/7/2019,203.96,197.11,208.19,195.13
1/8/2019,205.73,205.09,207.26,200.60
1/9/2019,207.75,206.37,209.52,204.45
1/10/2019,208.34,207.95,211.69,204.89
1/11/2019,205.04,208.59,210.76,203.27
1/14/2019,211.99,204.30,215.83,200.95
1/15/2019,207.36,213.61,213.61,199.08
1/16/2019,198.63,206.17,206.96,197.50
1/17/2019,199.77,200.75,202.72,198.29
1/18/2019,200.36,200.55,204.45,197.70
1/21/2019,199.13,201.24,202.53,198.29
1/22/2019,200.21,198.98,212.87,192.28
1/23/2019,199.62,199.72,204.40,197.11
1/24/2019,200.06,200.06,201.74,198.14
1/25/2019,197.89,200.55,202.18,196.12
1/28/2019,198.49,195.48,201.05,191.69
1/29/2019,199.27,198.34,201.59,197.21
1/30/2019,205.29,201.29,207.80,201.05
1/31/2019,206.42,208.24,210.51,202.23
2/1/2019,205.43,207.45,211.30,204.79
2/4/2019,204.30,207.95,208.34,201.20
2/5/2019,210.07,207.16,213.07,205.73
2/6/2019,207.26,209.43,213.37,206.07
2/7/2019,207.75,208.00,211.45,205.48
2/8/2019,209.28,210.80,210.80,205.73
2/11/2019,208.10,209.28,209.28,206.47
2/12/2019,208.29,207.06,208.93,206.96
2/13/2019,208.93,209.38,210.90,207.90
2/14/2019,209.77,207.95,210.90,206.86
2/15/2019,214.30,206.86,217.51,206.86
2/18/2019,210.16,215.88,221.10,208.83
2/19/2019,212.09,207.95,214.75,200.65
2/20/2019,214.11,212.43,217.31,209.03
2/21/2019,217.21,218.29,218.69,213.76
2/22/2019,217.11,215.83,218.10,214.40
2/25/2019,222.09,218.79,225.69,212.23
2/26/2019,216.47,218.20,222.78,215.09
2/27/2019,222.34,216.57,223.42,214.40
2/28/2019,221.94,222.53,224.11,217.31
3/1/2019,220.71,222.73,223.71,218.54
3/5/2019,222.24,220.22,223.32,218.44
3/6/2019,217.26,221.74,222.48,216.27
3/7/2019,220.12,219.08,221.25,216.72
3/8/2019,219.38,219.13,223.32,218.79
3/11/2019,222.58,220.71,223.37,219.77
3/12/2019,223.62,222.73,233.03,222.04
3/13/2019,224.06,223.57,228.64,223.32
3/14/2019,226.62,225.29,230.51,223.07
3/15/2019,224.21,229.14,229.53,222.83
3/18/2019,227.21,223.71,227.90,223.71
3/19/2019,225.88,227.21,227.51,224.70
3/20/2019,222.88,226.67,226.67,222.19
3/22/2019,221.50,222.19,224.85,220.86
3/25/2019,216.03,219.77,220.46,215.59
3/26/2019,214.55,216.47,219.18,212.87
3/27/2019,220.66,214.85,221.45,214.35
3/28/2019,217.85,219.92,222.24,216.82
3/29/2019,217.75,219.77,220.66,214.85
4/1/2019,220.66,218.20,224.21,218.20
4/2/2019,217.11,221.40,221.40,216.37
4/3/2019,216.03,218.49,218.89,215.04
4/4/2019,216.42,218.79,218.79,215.34
4/5/2019,215.93,218.74,218.79,214.90
4/8/2019,212.48,216.82,216.82,211.49
4/9/2019,214.45,211.35,216.57,207.16
4/10/2019,218.89,217.90,220.86,216.47
4/11/2019,219.08,217.90,220.86,217.11
4/12/2019,223.17,219.23,224.31,218.25
4/15/2019,220.32,224.65,224.70,219.68
4/16/2019,219.72,219.43,221.05,218.20
4/18/2019,218.34,217.70,219.72,213.07
4/22/2019,216.23,214.94,219.13,213.51
4/23/2019,210.41,215.88,216.57,209.43
4/24/2019,213.07,210.31,215.54,210.31
4/25/2019,212.82,213.32,216.32,210.90
4/26/2019,208.69,213.81,214.85,204.60
4/30/2019,211.69,204.05,214.30,203.91
5/2/2019,206.42,209.13,211.40,204.99
5/3/2019,204.40,207.06,207.06,202.03
5/6/2019,207.21,204.01,208.14,202.43
5/7/2019,204.99,205.98,206.96,201.44
5/8/2019,203.22,205.93,206.12,201.98
5/9/2019,204.89,202.67,205.98,200.65
5/10/2019,207.40,204.99,209.92,204.01
5/13/2019,199.18,206.96,206.96,197.55
5/14/2019,206.47,198.78,209.92,198.78
5/15/2019,189.66,208.88,208.88,186.36
5/16/2019,192.18,185.23,197.11,177.49
5/17/2019,194.30,190.45,195.92,186.66
5/20/2019,198.44,200.90,201.05,193.66
5/21/2019,199.57,200.06,202.03,198.44
5/22/2019,199.32,200.11,203.41,197.11
5/23/2019,190.60,202.72,202.72,189.12
5/24/2019,199.32,190.21,200.55,190.21
5/27/2019,206.22,201.24,207.36,199.82
5/28/2019,205.04,206.96,211.45,201.05
5/29/2019,208.34,206.91,211.69,204.10
5/30/2019,214.85,209.43,215.73,208.44
5/31/2019,208.44,215.34,217.46,205.98
6/3/2019,215.24,211.99,216.13,207.65
6/4/2019,214.35,215.24,215.83,211.64
6/6/2019,215.09,215.83,216.23,211.40
6/7/2019,215.39,213.12,220.96,212.92
6/10/2019,217.06,215.83,218.59,212.92
6/11/2019,217.41,216.32,218.29,215.34
6/12/2019,214.25,215.88,216.57,212.38
6/13/2019,211.45,214.50,215.19,210.12
6/14/2019,206.91,210.16,212.63,204.99
6/17/2019,202.77,206.86,210.26,201.34
6/18/2019,199.91,202.08,202.08,198.19
6/19/2019,195.43,200.06,204.01,193.66
6/20/2019,201.74,193.16,202.43,190.21
6/21/2019,207.06,199.32,208.98,199.18
6/24/2019,204.65,208.93,208.93,203.22
6/25/2019,210.46,204.05,211.89,197.30
6/26/2019,206.42,211.89,212.13,205.29
6/27/2019,209.23,207.45,210.71,204.45
6/28/2019,211.99,211.10,212.73,206.27
7/1/2019,209.03,212.87,213.86,208.44
7/2/2019,212.92,211.99,213.76,208.14
7/3/2019,212.58,213.86,215.98,211.00
7/4/2019,208.64,211.00,213.17,207.16
7/5/2019,204.74,209.43,210.90,203.12
7/8/2019,206.96,203.12,208.93,197.89
7/9/2019,200.60,204.01,205.53,199.62
7/10/2019,196.17,201.44,201.44,195.48
7/11/2019,198.24,197.89,200.36,195.73
7/12/2019,205.58,197.75,206.37,197.50
7/15/2019,203.71,206.42,207.60,199.96
7/16/2019,199.77,206.37,206.91,198.78
7/17/2019,200.11,199.08,201.64,197.11
7/18/2019,200.11,201.05,201.69,199.96
7/19/2019,202.87,202.03,205.78,196.96
7/22/2019,204.20,201.98,204.99,199.67
7/23/2019,198.78,204.01,204.01,198.49
7/24/2019,201.05,201.74,201.74,197.25
7/25/2019,201.93,199.13,203.56,196.12
7/26/2019,194.05,199.96,200.65,193.36
7/29/2019,194.94,196.12,198.09,192.38
7/30/2019,187.20,196.07,196.12,185.97
7/31/2019,185.67,186.26,186.81,179.37
8/1/2019,184.74,185.53,188.09,181.98
8/2/2019,184.88,184.00,185.67,179.07
8/5/2019,185.13,183.31,186.66,180.40
8/6/2019,197.21,185.28,199.08,184.59
8/7/2019,198.98,198.49,203.61,194.15
8/8/2019,203.71,200.80,204.94,198.88
8/9/2019,201.98,204.79,206.96,195.13
8/13/2019,197.85,207.95,208.83,197.11
8/14/2019,193.85,198.09,198.09,191.98
8/16/2019,186.26,191.34,191.59,184.98
8/19/2019,186.26,187.45,188.24,183.26
8/20/2019,185.63,187.45,188.04,183.75
8/21/2019,188.34,186.86,189.27,185.38
8/22/2019,186.91,183.31,188.53,182.82
8/23/2019,185.92,183.55,189.86,182.82
8/26/2019,191.44,187.50,192.18,182.47
8/27/2019,190.55,192.43,194.64,188.34
8/28/2019,188.24,193.12,195.63,187.25
8/29/2019,187.10,188.04,189.22,185.08
8/30/2019,186.46,187.10,188.14,185.67
9/3/2019,184.29,186.26,188.53,183.31
9/4/2019,185.33,185.28,186.22,182.62
9/5/2019,185.67,189.22,189.22,184.59
9/6/2019,191.49,186.41,192.18,186.41
9/9/2019,186.71,191.34,200.06,185.38
9/11/2019,184.93,186.36,188.93,184.74
9/12/2019,184.79,187.25,188.68,184.44
9/13/2019,186.51,186.51,187.15,184.34
9/16/2019,185.97,184.98,187.69,184.79
9/17/2019,181.83,187.55,187.60,180.55
9/18/2019,185.43,182.82,186.56,182.27
9/19/2019,184.93,186.26,187.15,183.60
9/20/2019,197.45,186.07,199.87,185.13
9/23/2019,210.21,202.03,213.71,200.06
9/24/2019,207.85,213.76,213.76,203.76
9/25/2019,206.57,204.99,210.02,201.15
9/26/2019,204.50,207.11,216.27,203.02
9/27/2019,202.18,205.63,207.60,201.54
9/30/2019,208.14,204.60,210.46,198.49
10/1/2019,203.66,206.02,206.96,197.75
10/3/2019,206.76,205.58,207.95,200.75
10/4/2019,205.34,206.02,208.44,202.53
10/7/2019,204.20,206.96,209.18,202.38
10/9/2019,204.50,204.30,206.32,201.98
10/10/2019,201.29,204.99,204.99,200.80
10/11/2019,202.23,203.61,204.50,200.36
10/14/2019,201.84,202.33,203.81,200.46
10/15/2019,196.56,202.92,202.92,190.21
10/16/2019,195.04,199.52,200.16,193.51
10/17/2019,200.41,195.13,201.84,191.00
10/18/2019,206.27,201.44,208.39,198.68
10/22/2019,202.77,207.95,208.79,201.29
10/23/2019,202.43,203.51,207.45,202.03
10/24/2019,199.91,206.42,206.42,199.08
10/25/2019,200.75,201.49,201.74,198.58
10/29/2019,203.17,206.27,206.71,201.74
10/30/2019,208.59,205.43,211.30,203.17
10/31/2019,209.52,208.93,211.59,205.38
11/1/2019,207.85,210.85,210.85,206.27
11/4/2019,210.36,207.75,211.64,207.36
11/5/2019,206.81,211.69,211.69,203.36
11/6/2019,201.34,205.58,205.73,200.55
11/7/2019,199.72,200.06,203.46,193.66
11/8/2019,201.64,199.03,221.74,198.04
11/11/2019,198.68,202.03,203.56,197.85
11/13/2019,207.50,198.34,210.80,198.34
11/14/2019,206.52,208.00,208.00,201.74
11/15/2019,210.56,205.98,211.64,203.02
11/18/2019,210.07,209.77,212.28,205.29
11/19/2019,214.70,209.08,216.72,205.38
11/20/2019,213.12,214.85,215.78,210.36
11/21/2019,207.01,211.30,212.48,205.98
11/22/2019,216.23,206.96,221.40,204.35
11/25/2019,215.09,217.70,218.05,211.89
11/26/2019,209.62,212.63,220.07,207.95
11/27/2019,216.62,215.83,219.28,211.59
11/28/2019,217.41,217.36,219.92,214.35
11/29/2019,222.34,218.79,224.60,218.79
12/2/2019,223.62,222.58,225.19,217.65
12/3/2019,216.96,223.22,223.22,216.03
12/4/2019,218.44,216.91,220.76,215.98
12/5/2019,219.03,218.79,220.02,216.96
12/6/2019,222.43,218.39,223.62,215.83
12/9/2019,221.79,220.76,225.14,218.79
12/10/2019,221.74,221.84,224.50,219.87
12/11/2019,221.89,222.19,222.83,218.29
12/12/2019,221.55,221.94,222.24,220.76
12/13/2019,226.08,221.84,227.16,221.84
12/16/2019,226.48,226.67,229.63,224.70
12/17/2019,230.57,226.48,238.50,225.79
12/18/2019,235.69,231.30,236.53,230.57
12/19/2019,236.33,235.54,243.43,234.60
12/20/2019,231.60,236.87,240.22,229.23
12/23/2019,228.25,231.40,233.72,225.69
12/24/2019,224.80,229.63,230.32,223.76
12/26/2019,228.10,225.69,229.92,223.52
12/27/2019,229.53,228.64,230.12,221.84
12/30/2019,223.47,229.53,229.53,222.14
12/31/2019,228.49,223.71,229.68,221.74
1/1/2020,230.42,227.76,233.47,227.21
1/2/2020,237.07,230.66,246.09,230.61
1/3/2020,236.63,237.12,240.86,234.56
1/6/2020,231.11,236.53,236.53,228.89
1/7/2020,229.23,232.78,234.51,227.46
1/8/2020,232.54,228.54,233.57,225.54
1/9/2020,236.53,234.95,240.86,234.06
1/10/2020,229.97,238.25,240.96,229.58
1/13/2020,227.02,232.59,233.57,226.03
1/14/2020,229.53,227.07,231.60,227.07
1/15/2020,227.95,227.76,233.27,226.03
1/16/2020,233.87,228.54,235.29,228.54
1/17/2020,232.29,235.39,236.33,229.63
1/20/2020,227.51,232.29,233.82,226.18
1/21/2020,226.52,227.66,230.27,225.69
1/22/2020,231.70,229.63,233.37,227.31
1/23/2020,230.51,232.59,237.32,228.74
1/24/2020,231.35,230.51,233.67,228.25
1/27/2020,230.32,231.60,233.27,227.76
1/28/2020,225.64,231.50,231.60,224.21
1/29/2020,224.70,226.67,228.64,224.01
1/30/2020,226.18,224.90,227.95,223.02
1/31/2020,230.51,226.57,231.55,224.60
2/1/2020,231.00,232.70,235.25,223.75
2/3/2020,226.52,228.45,228.45,221.55
2/4/2020,225.74,228.59,228.84,224.55
2/5/2020,234.95,225.93,244.21,224.36
2/6/2020,250.72,235.94,256.88,228.79
2/7/2020,256.88,250.72,259.83,247.66
2/10/2020,255.25,258.45,258.45,247.02
2/11/2020,268.80,259.19,271.51,256.53
2/12/2020,265.21,269.99,272.99,264.71
2/13/2020,271.96,265.11,277.08,261.31
2/14/2020,261.66,271.91,273.78,260.18
2/17/2020,261.02,260.67,263.19,250.77
2/18/2020,257.91,259.54,266.59,255.79
2/19/2020,270.13,259.98,270.82,258.60
2/20/2020,273.53,268.06,279.50,268.06
2/24/2020,274.22,272.50,281.17,268.31
2/25/2020,263.58,274.91,279.40,260.97
2/26/2020,258.45,260.92,261.95,256.43
2/27/2020,257.32,258.80,262.74,251.31
2/28/2020,247.91,253.87,256.73,246.43
3/2/2020,237.46,253.28,255.84,232.29
3/3/2020,250.77,237.51,256.14,236.23
3/4/2020,246.28,259.19,259.19,240.22
3/5/2020,248.50,249.44,251.56,245.79
3/6/2020,245.30,236.82,248.06,236.18
3/9/2020,238.79,226.67,240.86,226.67
3/11/2020,232.19,239.38,244.16,229.18
3/12/2020,221.40,226.67,226.67,210.90
3/13/2020,224.50,200.06,233.18,192.18
3/16/2020,199.82,222.68,222.78,192.33
3/17/2020,206.32,208.93,210.80,201.98
3/18/2020,181.29,208.93,208.93,177.99
3/19/2020,173.45,173.99,184.05,151.77
3/20/2020,184.15,185.28,186.26,172.02
3/23/2020,158.57,175.42,175.42,148.37
3/24/2020,167.49,164.19,172.07,147.49
3/25/2020,168.57,174.83,176.41,160.05
3/26/2020,166.90,169.36,172.71,155.96
3/27/2020,164.24,170.60,172.81,158.03
3/30/2020,156.21,160.64,162.81,150.79
3/31/2020,150.93,161.63,161.63,149.11
4/1/2020,148.57,150.79,152.12,145.12
4/3/2020,143.89,147.83,147.83,140.04
4/7/2020,147.29,145.07,150.39,144.38
4/8/2020,147.04,144.77,150.15,144.77
4/9/2020,147.34,148.47,150.05,145.96
4/13/2020,143.15,147.98,152.76,142.16
4/15/2020,143.40,145.07,151.18,140.59
4/16/2020,136.79,143.40,143.40,136.05
4/17/2020,141.03,141.87,143.15,139.01
4/20/2020,137.73,142.90,145.46,137.38
4/21/2020,125.75,137.97,137.97,123.78
4/22/2020,120.24,127.04,130.09,119.64
4/23/2020,122.16,122.21,126.05,121.02
4/24/2020,120.53,122.80,129.10,117.52
4/27/2020,114.17,121.22,121.47,96.58
4/28/2020,113.63,115.80,115.80,112.94
4/29/2020,110.48,114.32,114.32,109.89
4/30/2020,114.03,112.25,124.18,110.82
5/4/2020,107.42,113.29,113.29,106.44
5/5/2020,105.50,111.86,111.86,105.35
5/6/2020,108.85,105.45,111.66,95.65
5/7/2020,109.29,110.82,114.03,108.41
5/8/2020,105.30,110.87,111.17,103.97
5/11/2020,103.88,107.42,107.42,103.38
5/12/2020,102.54,103.53,104.42,100.38
5/13/2020,105.70,106.44,110.33,104.22
5/14/2020,101.56,105.70,105.70,99.79
5/15/2020,102.64,101.51,104.66,100.23
5/18/2020,98.60,104.17,104.17,97.57
5/19/2020,101.17,100.52,102.99,97.57
5/20/2020,101.46,102.79,104.22,100.57
5/21/2020,110.53,103.38,111.56,101.95
5/22/2020,109.49,111.36,115.36,106.63
5/26/2020,106.78,110.38,110.97,105.94
5/27/2020,106.49,107.37,108.90,104.37
5/28/2020,116.64,105.30,117.77,100.77
5/29/2020,118.02,117.23,123.98,116.19
6/1/2020,129.01,126.94,130.09,123.49
6/2/2020,128.71,131.07,134.18,128.12
6/3/2020,128.81,131.67,132.95,126.35
6/4/2020,123.19,130.09,130.14,121.71
6/5/2020,136.74,128.12,140.73,125.56
6/8/2020,137.63,146.74,146.74,134.28
6/9/2020,130.24,139.85,139.85,129.10
6/10/2020,127.92,129.99,130.68,126.10
6/11/2020,128.02,128.12,132.70,125.95
6/12/2020,137.33,120.53,138.47,120.38
6/15/2020,137.38,138.76,146.55,135.46
6/16/2020,132.41,141.92,141.92,128.61
6/17/2020,131.86,132.06,136.20,129.84
6/18/2020,131.67,131.07,133.79,130.29
6/19/2020,131.22,134.48,134.52,130.29
6/22/2020,131.13,131.57,133.29,130.58
6/23/2020,135.51,132.06,136.99,129.84
6/24/2020,128.32,136.99,137.63,126.25
6/25/2020,128.07,129.89,130.68,127.33
6/26/2020,127.38,130.09,130.73,126.79
6/29/2020,125.80,128.12,129.10,123.24
6/30/2020,125.35,128.00,129.90,124.50
7/1/2020,123.85,125.35,126.00,123.15
7/2/2020,122.80,123.00,124.95,122.30
7/3/2020,120.55,123.00,123.75,119.85
7/6/2020,127.50,121.50,128.40,120.15
7/7/2020,126.50,127.60,130.70,125.65
7/8/2020,121.55,125.35,127.50,120.35
7/9/2020,123.80,122.00,125.00,122.00
7/10/2020,121.35,123.85,124.70,120.70
7/13/2020,120.25,121.00,122.55,119.15
7/14/2020,118.50,121.20,121.20,117.05
7/15/2020,115.45,118.50,119.95,114.85
7/16/2020,113.10,115.10,115.40,112.60
7/17/2020,115.15,113.10,116.80,113.10
7/20/2020,113.45,115.00,117.30,112.75
7/21/2020,112.40,113.50,115.50,111.80
7/22/2020,120.30,113.90,123.15,112.20
7/23/2020,126.45,121.50,127.45,118.25
7/24/2020,127.95,125.00,129.35,123.80
7/27/2020,125.00,129.75,129.75,123.00
7/28/2020,122.80,125.00,127.45,121.85
7/29/2020,125.25,124.90,127.50,122.00
7/30/2020,122.95,127.45,127.45,122.20
7/31/2020,124.65,123.00,125.15,121.60
8/3/2020,121.20,124.90,124.95,121.10
8/4/2020,122.15,122.85,123.00,120.85
8/5/2020,123.25,124.50,125.60,122.85
8/6/2020,123.65,124.00,125.05,121.95
8/7/2020,121.00,124.15,125.00,120.35
8/10/2020,118.95,121.70,122.65,118.65
8/11/2020,118.00,118.25,119.90,117.70
8/12/2020,118.70,118.00,120.70,117.20
8/13/2020,129.90,121.00,132.70,119.00
8/14/2020,129.10,129.90,133.00,125.90
8/17/2020,133.70,129.10,135.55,126.80
8/18/2020,136.50,134.00,137.20,132.00
8/19/2020,140.00,136.50,141.50,135.30
8/20/2020,142.60,138.50,144.85,138.00
8/21/2020,146.70,143.00,154.90,143.00
8/24/2020,149.40,151.70,153.90,145.10
8/25/2020,151.20,147.00,152.90,147.00
8/26/2020,149.00,151.00,152.30,148.25
8/27/2020,146.30,149.50,152.10,145.40
8/28/2020,143.55,148.00,149.50,143.00
8/31/2020,139.85,144.00,149.50,136.60
9/1/2020,134.50,139.90,141.75,132.00
9/2/2020,145.20,134.20,148.75,134.20
9/3/2020,139.30,145.20,148.25,139.00
9/4/2020,136.80,136.70,144.50,135.30
9/7/2020,137.25,138.00,139.70,135.35
9/8/2020,137.65,138.50,138.90,134.60
9/9/2020,129.95,135.00,135.90,128.75
9/10/2020,132.10,130.90,134.90,130.30
9/11/2020,131.60,132.00,134.05,130.50
9/14/2020,136.05,132.25,141.30,132.25
9/15/2020,134.05,137.05,137.80,132.95
9/16/2020,137.55,135.00,139.60,135.00
9/17/2020,135.30,137.00,137.30,133.40
9/18/2020,133.00,136.95,136.95,132.45
9/21/2020,126.80,135.00,135.00,123.70
9/22/2020,130.05,125.00,133.50,120.00
9/23/2020,131.80,131.00,133.45,127.00
9/24/2020,129.95,125.50,131.00,125.50
9/25/2020,127.95,130.05,131.65,126.75
9/28/2020,131.05,130.35,133.00,129.65
9/29/2020,132.55,133.25,133.50,129.30
9/30/2020,133.40,133.85,136.85,131.90
10/1/2020,132.45,134.80,135.60,131.75
10/5/2020,132.15,132.70,134.80,131.25
10/6/2020,132.25,134.80,136.25,131.30
10/7/2020,131.80,132.10,134.45,131.45
10/8/2020,129.20,134.70,134.70,127.90
10/9/2020,129.10,129.40,130.60,128.00
10/12/2020,127.35,131.60,132.20,126.60
10/13/2020,131.50,128.00,132.80,125.80
10/14/2020,132.25,131.90,135.20,127.60
10/15/2020,132.25,133.35,135.20,131.25
10/16/2020,137.50,133.60,138.00,132.65
10/19/2020,144.65,138.00,145.70,138.00
10/20/2020,144.65,146.10,148.90,142.30
10/21/2020,150.90,145.15,153.65,144.30
10/22/2020,153.40,152.00,154.90,149.00
10/23/2020,165.05,153.50,178.80,150.00
10/26/2020,160.90,169.00,172.50,159.05
10/27/2020,165.05,160.10,166.90,156.95
10/28/2020,157.70,164.00,164.00,157.00
10/29/2020,154.70,154.40,157.75,153.40
10/30/2020,153.30,152.50,158.45,151.15
11/2/2020,151.95,155.00,155.00,150.35
11/3/2020,152.35,150.00,154.20,149.15
11/4/2020,148.20,148.30,152.40,147.25
11/5/2020,154.80,149.65,155.75,149.05
11/6/2020,153.15,156.00,157.50,150.00
11/9/2020,150.80,151.50,155.15,150.05
11/10/2020,157.45,152.00,160.85,150.50
11/11/2020,156.65,158.90,158.90,154.70
11/12/2020,155.40,156.05,157.05,154.70
11/13/2020,158.30,154.00,159.25,154.00
11/14/2020,157.85,157.85,157.85,157.85
11/17/2020,157.75,157.20,159.50,154.50
11/18/2020,159.20,159.80,160.75,155.60
11/19/2020,158.90,159.20,162.50,157.35
11/20/2020,159.55,161.65,161.65,157.75
11/23/2020,156.90,159.55,160.15,156.45
11/24/2020,155.35,157.00,158.75,154.80
11/25/2020,155.60,155.60,158.70,154.75
11/26/2020,157.00,155.75,157.40,154.20
11/27/2020,162.50,161.35,164.90,157.05
12/1/2020,161.10,164.00,165.80,160.45
12/2/2020,164.25,162.00,165.15,161.30
12/3/2020,163.75,166.80,167.85,163.10
12/4/2020,159.60,164.50,165.50,158.25
12/7/2020,161.20,160.05,162.30,159.55
12/8/2020,159.55,162.30,164.00,158.10
12/9/2020,161.35,161.00,163.95,159.75
12/10/2020,159.10,162.00,162.00,156.70
12/11/2020,159.25,160.00,161.20,158.30
12/14/2020,159.90,160.45,160.75,159.00
12/15/2020,160.15,160.20,161.90,158.95
12/16/2020,163.45,162.00,167.30,160.10
12/17/2020,163.50,165.20,166.80,161.80
12/18/2020,159.75,165.30,165.30,159.10
12/21/2020,150.70,161.00,161.00,144.50
12/22/2020,150.50,145.00,153.50,144.10
12/23/2020,155.60,151.50,156.50,150.90
12/24/2020,164.15,158.15,167.60,156.40
12/28/2020,163.85,166.20,168.20,163.10
12/29/2020,165.00,165.00,166.05,161.15
12/30/2020,165.35,165.25,166.20,162.80
12/31/2020,165.75,167.40,170.20,165.00
1/1/2021,166.40,165.10,168.70,165.10
1/4/2021,166.65,167.50,168.50,164.25
1/5/2021,167.00,165.40,167.40,163.70
1/6/2021,166.75,167.05,168.65,164.55
1/7/2021,168.30,167.25,170.00,165.70
1/8/2021,166.35,169.30,170.50,165.45
1/11/2021,168.80,169.95,169.95,165.40
1/12/2021,174.40,168.00,176.00,167.25
1/13/2021,180.40,177.50,181.90,175.20
1/14/2021,179.80,182.00,182.45,177.50
1/15/2021,176.40,179.80,180.50,174.80
1/18/2021,170.00,175.50,176.25,169.20
1/19/2021,174.15,170.15,175.80,170.15
1/20/2021,173.45,175.10,175.70,173.10
1/21/2021,173.05,199.95,199.95,169.60
1/22/2021,171.60,173.10,175.55,170.30
1/25/2021,163.70,172.10,173.30,162.15
1/27/2021,162.15,165.00,170.85,161.10
1/28/2021,152.50,166.00,166.00,150.55
1/29/2021,150.10,156.50,157.55,149.10
